company,year,scope1_value,scope1_unit,scope1_confidence,scope1_note,scope2_market_value,scope2_market_unit,scope2_market_confidence,scope2_note,assurance,assurance_provider,assurance_level,assurance_confidence,target,target_year,baseline_year,target_confidence,target_note
Amazon,2021,12.11,mmt CO₂e,high,Found in the Carbon Footprint Data section on Page 97.,4.07,mtCO₂e,high,Extracted Scope 2 market-based emissions value from the sustainability report.,False,,,low,net-zero carbon emissions,2040,,high,Amazon is committed to reaching net-zero carbon emissions across its operations by 2040.
Amazon,2022,,,none,No relevant pages found,,,none,No Scope 2 market-based emissions found in the provided text.,False,,,low,Reduce food waste by 50%,2030,,high,The target is clearly stated with a specific percentage and year.
Amazon,2023,14.27,MMT CO₂e,high,Total Scope 1 emissions for 2023 found in the emissions category table.,2.79,mtCO₂e,high,Extracted Scope 2 market-based emissions value from the report.,True,Amazon,reasonable,high,net-zero carbon emissions,2040,,high,Amazon aims to achieve net-zero carbon emissions by 2040.
BP,2021,33.2,MtCO₂e,high,Total Scope 1 emissions for 2021 found in the report.,2.4,MtCO₂e,high,Scope 2 market-based emissions reported as 2.4 MtCO₂e.,False,,,low,net zero,2050,,high,The company aims to achieve net zero emissions by 2050 or sooner.
BP,2022,30.4,MtCO₂e,high,Total Scope 1 emissions for the reporting year found on Page 25.,1.5,MtCO2e,high,Scope 2 market-based emissions reported as 1.5 MtCO2e.,False,,,low,net zero,2050,2019,high,"The company aims to achieve net zero emissions across its operations by 2050 or sooner, with a baseline year of 2019."
BP,2023,31.1,MtCOe,high,Total Scope 1 emissions for 2023 found on Page 23.,1.0,MtCO2e,high,Extracted Scope 2 market-based GHG emissions value.,False,,,low,net zero,2050,2019,high,"The company aims to achieve net zero operational greenhouse gas emissions by 2050 or sooner, with a baseline year of 2019."
Coca Cola,2021,325833,mt CO₂e,high,"Found in the CDP reporting section, specifically under Scope 1 emissions.",3.88,mtCO₂e,high,Extracted Scope 2 market-based emissions value from the report.,True,Ernst & Young LLP,limited,high,25% reduction,2030,2015,high,The target is to reduce absolute greenhouse gas emissions by 25% by 2030 against a 2015 baseline.
Coca Cola,2022,4400000,mtCO₂e,high,Scope 1 emissions for 2022 were explicitly stated as 4.4 million metric tons.,3.44,mtCO₂e,high,Scope 2 market-based emissions value extracted from the report.,True,null,reasonable,high,reduce absolute emissions by 25%,2030,2015,high,The target is clearly stated with a specific percentage reduction and a baseline year.
Coca Cola,2023,292106,tCO₂e,high,Found in the Scope 1 row under 'Reported Manufacturing Emissions in CDP'.,3.34,mtCO₂e,high,Extracted Scope 2 market-based emissions for the year 2023.,True,,reasonable,high,,,,none,No specific GHG emission reduction targets were mentioned in the provided text.
ENGIE,2021,38.6,mt CO₂e,high,Total Scope 1 emissions for the year 2020 found in the environmental indicators table on page 58.,,,none,Only location-based found,False,,,low,52% reduction in the rate of emissions per kWh from energy production and 34% reduction in emissions related to the use of products sold,2030,2017,high,"ENGIE has set ambitious decarbonization targets certified by the SBTI, focusing on significant reductions in emissions by 2030."
ENGIE,2022,,,none,No absolute Scope 1 emissions values found in the report.,,,none,Only location-based found; no market-based Scope 2 emissions value provided.,False,,,low,43 Mt CO2eq for energy production emissions,2030,2017,high,"ENGIE aims to reduce GHG emissions from energy production to a maximum of 43 Mt CO2eq by 2030, compared to 106 Mt CO2eq in 2017."
ENGIE,2023,29.8,Mt CO₂e,high,Total Scope 1 emissions found on Page 64.,,,none,Only location-based found,False,,,low,Net Zero Carbon Emissions,2045,2017,high,"ENGIE aims to achieve net zero emissions by 2045, with a baseline year of 2017."
Intel,2021,2.18,million metric tons COe,high,"Found in the SASB section on Page 91, stating gross global Scope 1 emissions.",1093000,metric tons CO₂e,high,Extracted Scope 2 market-based emissions value from the report.,False,,,low,10% reduction in absolute Scope 1 and 2 GHG emissions,2030,2019,high,The target is to reduce emissions by 10% from the 2019 baseline by 2030.
Intel,2022,481000,metric tons COe,high,"Found in the SASB and TCFD Framework Alignment section, indicating gross global Scope 1 emissions.",347600,metric tons CO2e,high,Scope 2 emissions reported using market-based methodology.,False,,,low,10% reduction in absolute Scope 1 and 2 GHG emissions,2030,2019,high,The target includes a commitment to achieve net-zero Scope 1 and 2 GHG emissions by 2040.
Intel,2023,845000,metric tons CO₂e,high,Total Scope 1 emissions found in the table on Page 116.,47800,metric tons CO2e,high,Scope 2 market-based emissions value extracted from the report.,False,,,low,net-zero Scope 1 and 2 GHG emissions,2040,,high,Intel aims to achieve net-zero Scope 1 and 2 GHG emissions by 2040.
Nestle,2021,73.3,million tonnes CO2e,high,Found in the GHG emissions for Scope 1 section for the year 2021.,0.411,mtCO₂e,high,Extracted Scope 2 market-based emissions value from the report.,True,"Bureau Veritas, EY",limited,high,net zero,2050,2018,high,"The company aims for net zero emissions by 2050, with a baseline year of 2018 for their emissions reduction targets."
Nestle,2022,121.52,million tonnes CO₂e,high,Total Scope 1 emissions for the reporting year found in the table on Page 10.,112.9,million tonnes CO₂e,high,Extracted Scope 2 market-based emissions value from the report.,False,,,low,net zero,2050,,high,The company is committed to achieving net zero emissions by 2050.
Nestle,2023,,,none,No absolute Scope 1 emissions values found; only percentage reductions and Scope 1 emissions mentioned in relation to Scope 2.,,,none,Only location-based found; no market-based value specified.,False,,,low,50% reduction of absolute Scope 3 FLAG GHG emissions,2030,2018,high,The target is part of Nestlé's commitment to reduce emissions in accordance with SBTi guidelines.
SSE,2021,7.06,MtCO₂e,high,Total Scope 1 emissions for the reporting year found in the section discussing carbon emissions performance.,0.54,MtCOe,high,"Scope 2 emissions value extracted, no market-based distinction provided but only Scope 2 is mentioned.",True,PwC,limited,high,net zero,2050,2019,high,"The report mentions a net zero carbon emissions target for 2050, with references to 2019 figures as the baseline."
SSE,2022,6.24,MMT CO₂e,high,Total Scope 1 emissions for the reporting year found in the performance summary table.,6.24,Million tonnes COe,high,"Scope 2 emissions value provided without distinction, assumed to be market-based.",False,,,low,net zero for all scope 1 and 2 emissions by 2040 and for remaining scope 3 emissions by 2050,2050,2017,high,"SSE aims for net zero across all operations by 2050, with an interim target for scope 1 and 2 emissions by 2040."
SSE,2023,6.08,Million tonnes COe,high,Found in the performance summary on Page 10 under Scope 1 GHG emissions.,0.44,Million tonnes COe,high,"Scope 2 GHG emissions reported as absolute value, market-based not explicitly stated but assumed as no location-based value provided.",False,,,low,net zero across scope 1 and 2 emissions,2040,,high,SSE aims to achieve net zero across scope 1 and 2 emissions by 2040 at the latest.
Shell,2021,60,million tonnes CO2e,high,Total Scope 1 emissions for 2021 found in the table on Page 75.,8,million tonnes CO2e,high,Scope 2 market-based emissions for 2021 are reported as 8 million tonnes CO2e.,True,LRQA Limited,limited,high,net zero emissions,2050,,high,"Shell aims to become a net-zero emissions energy business by 2050, in line with the UN Paris Agreement."
Shell,2022,51,million tonnes CO2 equivalent,high,Total Scope 1 emissions for 2022 found in the direct greenhouse gas emissions section.,7,Million tonnes CO2e,high,Scope 2 market-based emissions for 2022,True,LRQA,limited,high,net zero emissions energy business,2050,,high,Shell aims to achieve net zero emissions by 2050 and reduce absolute Scope 1 and 2 emissions by 50% by 2030 compared to 2016 levels.
Shell,2023,50,MMT CO₂e,high,Total Scope 1 emissions for 2023 found in the report.,7,Million tonnes CO2e,high,Scope 2 market-based emissions for 2023,True,LRQA,limited,high,net zero,2050,,high,"Shell aims to achieve net-zero emissions by 2050, covering Scope 1, 2, and 3 emissions."
